index,Class,video,measure,ps,frames_n,measure_scaled
6_1_1,2,6_1,17.92,0.12013,48,0.6550525933560791
6_1_2,2,6_1,17.92,0.12013,48,0.6550525933560791
6_1_3,2,6_1,17.92,0.12013,48,0.6550525933560791
6_1_4,2,6_1,17.92,0.12013,48,0.6550525933560791
6_1_5,2,6_1,17.92,0.12013,48,0.6550525933560791
6_1_6,2,6_1,17.92,0.12013,48,0.6550525933560791
6_1_7,2,6_1,17.92,0.12013,48,0.6550525933560791
6_1_8,2,6_1,17.92,0.12013,48,0.6550525933560791
6_1_9,2,6_1,17.92,0.12013,48,0.6550525933560791
6_1_10,2,6_1,17.92,0.12013,48,0.6550525933560791
6_1_39,2,6_1,17.92,0.12013,48,0.6550525933560791
6_1_40,2,6_1,17.92,0.12013,48,0.6550525933560791
6_1_41,2,6_1,17.92,0.12013,48,0.6550525933560791
6_1_42,2,6_1,17.92,0.12013,48,0.6550525933560791
6_1_43,2,6_1,17.92,0.12013,48,0.6550525933560791
6_1_44,2,6_1,17.92,0.12013,48,0.6550525933560791
6_1_45,2,6_1,17.92,0.12013,48,0.6550525933560791
6_1_46,2,6_1,17.92,0.12013,48,0.6550525933560791
6_1_47,2,6_1,17.92,0.12013,48,0.6550525933560791
6_1_48,2,6_1,17.92,0.12013,48,0.6550525933560791
9_1_78,2,9_1,22.42,0.254439,177,0.3666678498042569
9_1_79,2,9_1,22.42,0.254439,177,0.3666678498042569
9_1_80,2,9_1,22.42,0.254439,177,0.3666678498042569
9_1_81,2,9_1,22.42,0.254439,177,0.3666678498042569
9_1_82,2,9_1,22.42,0.254439,177,0.3666678498042569
9_1_83,2,9_1,22.42,0.254439,177,0.3666678498042569
9_1_84,2,9_1,22.42,0.254439,177,0.3666678498042569
9_1_85,2,9_1,22.42,0.254439,177,0.3666678498042569
9_1_86,2,9_1,22.42,0.254439,177,0.3666678498042569
9_1_87,2,9_1,22.42,0.254439,177,0.3666678498042569
9_1_88,2,9_1,22.42,0.254439,177,0.3666678498042569
9_1_89,2,9_1,22.42,0.254439,177,0.3666678498042569
9_1_90,2,9_1,22.42,0.254439,177,0.3666678498042569
9_1_91,2,9_1,22.42,0.254439,177,0.3666678498042569
9_1_92,2,9_1,22.42,0.254439,177,0.3666678498042569
9_1_93,2,9_1,22.42,0.254439,177,0.3666678498042569
9_1_94,2,9_1,22.42,0.254439,177,0.3666678498042569
9_1_95,2,9_1,22.42,0.254439,177,0.3666678498042569
9_1_96,2,9_1,22.42,0.254439,177,0.3666678498042569
9_1_97,2,9_1,22.42,0.254439,177,0.3666678498042569
9_1_98,2,9_1,22.42,0.254439,177,0.3666678498042569
9_1_99,2,9_1,22.42,0.254439,177,0.3666678498042569
9_1_100,2,9_1,22.42,0.254439,177,0.3666678498042569
9_1_101,2,9_1,22.42,0.254439,177,0.3666678498042569
9_1_102,2,9_1,22.42,0.254439,177,0.3666678498042569
9_1_103,2,9_1,22.42,0.254439,177,0.3666678498042569
9_1_104,2,9_1,22.42,0.254439,177,0.3666678498042569
9_1_105,2,9_1,22.42,0.254439,177,0.3666678498042569
9_1_106,2,9_1,22.42,0.254439,177,0.3666678498042569
9_1_107,2,9_1,22.42,0.254439,177,0.3666678498042569
9_1_108,2,9_1,22.42,0.254439,177,0.3666678498042569
9_1_109,2,9_1,22.42,0.254439,177,0.3666678498042569
9_1_110,2,9_1,22.42,0.254439,177,0.3666678498042569
9_1_111,2,9_1,22.42,0.254439,177,0.3666678498042569
9_1_112,2,9_1,22.42,0.254439,177,0.3666678498042569
9_1_113,2,9_1,22.42,0.254439,177,0.3666678498042569
9_1_114,2,9_1,22.42,0.254439,177,0.3666678498042569
11_1_57,2,11_1,21.98,0.139701,91,0.693614667532944
11_1_58,2,11_1,21.98,0.139701,91,0.693614667532944
11_1_59,2,11_1,21.98,0.139701,91,0.693614667532944
11_1_60,2,11_1,21.98,0.139701,91,0.693614667532944
11_1_61,2,11_1,21.98,0.139701,91,0.693614667532944
11_1_62,2,11_1,21.98,0.139701,91,0.693614667532944
11_1_63,2,11_1,21.98,0.139701,91,0.693614667532944
11_1_64,2,11_1,21.98,0.139701,91,0.693614667532944
11_1_65,2,11_1,21.98,0.139701,91,0.693614667532944
11_1_66,2,11_1,21.98,0.139701,91,0.693614667532944
11_1_67,2,11_1,21.98,0.139701,91,0.693614667532944
16_1_64,2,16_1,21.78,0.12013,93,0.8068196699877656
16_1_65,2,16_1,21.78,0.12013,93,0.8068196699877656
16_1_66,2,16_1,21.78,0.12013,93,0.8068196699877656
