index,Class,video,HC,head_ps,frames_n_x,frames_n_y
1_1_15,2,1_1,20.19,0.096716,68,68
1_1_16,2,1_1,20.19,0.096716,68,68
1_1_17,2,1_1,20.19,0.096716,68,68
1_1_18,2,1_1,20.19,0.096716,68,68
1_1_19,2,1_1,20.19,0.096716,68,68
1_1_20,2,1_1,20.19,0.096716,68,68
1_1_21,2,1_1,20.19,0.096716,68,68
1_1_22,2,1_1,20.19,0.096716,68,68
1_1_23,2,1_1,20.19,0.096716,68,68
1_1_24,2,1_1,20.19,0.096716,68,68
1_1_25,2,1_1,20.19,0.096716,68,68
1_1_26,2,1_1,20.19,0.096716,68,68
1_1_27,2,1_1,20.19,0.096716,68,68
1_1_28,2,1_1,20.19,0.096716,68,68
2_1_73,2,2_1,19.19,0.107914,88,88
2_1_74,2,2_1,19.19,0.107914,88,88
2_1_75,2,2_1,19.19,0.107914,88,88
2_1_76,2,2_1,19.19,0.107914,88,88
2_1_77,2,2_1,19.19,0.107914,88,88
2_1_78,2,2_1,19.19,0.107914,88,88
2_1_79,2,2_1,19.19,0.107914,88,88
2_1_80,2,2_1,19.19,0.107914,88,88
2_1_81,2,2_1,19.19,0.107914,88,88
2_1_82,2,2_1,19.19,0.107914,88,88
2_1_83,2,2_1,19.19,0.107914,88,88
2_1_84,2,2_1,19.19,0.107914,88,88
2_1_85,2,2_1,19.19,0.107914,88,88
2_1_86,2,2_1,19.19,0.107914,88,88
2_1_87,2,2_1,19.19,0.107914,88,88
2_1_88,2,2_1,19.19,0.107914,88,88
3_1_22,2,3_1,25.19,0.121011,23,23
3_1_23,2,3_1,25.19,0.121011,23,23
4_1_1,2,4_1,23.98,0.129155,252,252
4_1_2,2,4_1,23.98,0.129155,252,252
4_1_3,2,4_1,23.98,0.129155,252,252
4_1_4,2,4_1,23.98,0.129155,252,252
4_1_5,2,4_1,23.98,0.129155,252,252
4_1_6,2,4_1,23.98,0.129155,252,252
4_1_7,2,4_1,23.98,0.129155,252,252
4_1_8,2,4_1,23.98,0.129155,252,252
4_1_9,2,4_1,23.98,0.129155,252,252
4_1_10,2,4_1,23.98,0.129155,252,252
4_1_11,2,4_1,23.98,0.129155,252,252
4_1_12,2,4_1,23.98,0.129155,252,252
4_1_13,2,4_1,23.98,0.129155,252,252
4_1_14,2,4_1,23.98,0.129155,252,252
4_1_15,2,4_1,23.98,0.129155,252,252
4_1_16,2,4_1,23.98,0.129155,252,252
4_1_17,2,4_1,23.98,0.129155,252,252
4_1_18,2,4_1,23.98,0.129155,252,252
4_1_19,2,4_1,23.98,0.129155,252,252
4_1_20,2,4_1,23.98,0.129155,252,252
4_1_21,2,4_1,23.98,0.129155,252,252
4_1_22,2,4_1,23.98,0.129155,252,252
4_1_23,2,4_1,23.98,0.129155,252,252
4_1_24,2,4_1,23.98,0.129155,252,252
4_1_25,2,4_1,23.98,0.129155,252,252
4_1_26,2,4_1,23.98,0.129155,252,252
