index,Class,video_x
1_2_1,3,1_2
1_2_2,3,1_2
1_2_3,3,1_2
1_2_4,3,1_2
1_2_5,3,1_2
1_2_6,3,1_2
1_2_7,3,1_2
1_2_8,3,1_2
1_2_9,3,1_2
1_2_10,3,1_2
1_2_11,3,1_2
1_2_12,3,1_2
1_2_13,3,1_2
1_2_14,3,1_2
1_2_15,3,1_2
1_2_16,3,1_2
1_2_17,3,1_2
1_2_18,3,1_2
1_2_19,3,1_2
1_2_20,3,1_2
1_2_21,3,1_2
1_2_22,3,1_2
1_2_23,3,1_2
1_2_24,3,1_2
1_2_25,3,1_2
1_2_26,3,1_2
1_2_27,3,1_2
1_2_28,3,1_2
1_2_29,3,1_2
1_2_30,3,1_2
1_2_31,3,1_2
1_2_32,3,1_2
1_2_33,3,1_2
1_2_34,3,1_2
1_2_35,3,1_2
1_2_36,3,1_2
1_2_37,3,1_2
1_2_38,3,1_2
1_2_39,3,1_2
1_2_40,3,1_2
1_2_41,3,1_2
1_2_42,3,1_2
1_2_43,4,1_2
1_2_44,4,1_2
1_2_45,4,1_2
1_2_46,4,1_2
1_2_47,4,1_2
1_2_48,4,1_2
1_2_49,4,1_2
1_2_50,4,1_2
1_2_51,4,1_2
1_2_52,4,1_2
1_2_53,4,1_2
1_2_54,4,1_2
1_2_55,4,1_2
1_2_56,4,1_2
3_2_1,3,3_2
3_2_2,3,3_2
3_2_3,3,3_2
3_2_4,3,3_2
3_2_5,3,3_2
3_2_6,3,3_2
3_2_7,3,3_2
3_2_8,3,3_2
3_2_9,3,3_2
3_2_10,3,3_2
3_2_11,3,3_2
3_2_12,3,3_2
3_2_13,3,3_2
3_2_14,3,3_2
3_2_15,3,3_2
3_2_16,3,3_2
3_2_17,3,3_2
3_2_18,3,3_2
3_2_19,3,3_2
3_2_20,3,3_2
3_2_21,3,3_2
3_2_22,3,3_2
3_2_23,3,3_2
3_2_24,3,3_2
3_2_25,4,3_2
3_2_26,4,3_2
3_2_27,3,3_2
3_2_28,3,3_2
6_2_1,3,6_2
6_2_2,3,6_2
6_2_3,3,6_2
6_2_4,3,6_2
6_2_5,3,6_2
6_2_6,3,6_2
6_2_7,3,6_2
6_2_8,3,6_2
6_2_9,3,6_2
6_2_10,3,6_2
6_2_11,3,6_2
6_2_12,3,6_2
6_2_13,3,6_2
6_2_14,3,6_2
6_2_15,3,6_2
6_2_16,3,6_2
6_2_17,3,6_2
6_2_18,3,6_2
6_2_19,3,6_2
6_2_20,3,6_2
6_2_21,3,6_2
6_2_22,3,6_2
6_2_23,3,6_2
6_2_24,3,6_2
6_2_25,3,6_2
6_2_26,3,6_2
6_2_27,3,6_2
6_2_28,3,6_2
6_2_29,3,6_2
6_2_30,3,6_2
6_2_31,3,6_2
6_2_32,3,6_2
6_2_33,3,6_2
6_2_34,3,6_2
6_2_35,4,6_2
6_2_36,4,6_2
6_2_37,4,6_2
6_2_38,4,6_2
6_2_39,4,6_2
6_2_40,4,6_2
6_2_41,4,6_2
6_2_42,3,6_2
6_2_43,3,6_2
6_2_44,3,6_2
6_2_45,3,6_2
6_2_46,3,6_2
6_2_47,3,6_2
6_2_48,3,6_2
6_2_49,3,6_2
6_2_50,3,6_2
6_2_51,3,6_2
8_2_1,3,8_2
8_2_2,3,8_2
8_2_3,3,8_2
8_2_4,3,8_2
8_2_5,3,8_2
8_2_6,3,8_2
8_2_7,3,8_2
8_2_8,3,8_2
8_2_9,3,8_2
8_2_10,3,8_2
8_2_11,3,8_2
8_2_12,3,8_2
8_2_13,3,8_2
8_2_14,3,8_2
8_2_15,4,8_2
8_2_16,4,8_2
8_2_17,4,8_2
8_2_18,3,8_2
8_2_19,3,8_2
8_2_20,3,8_2
8_2_21,3,8_2
8_2_22,3,8_2
8_2_23,3,8_2
8_2_24,3,8_2
8_2_25,3,8_2
8_2_26,3,8_2
8_2_27,3,8_2
8_2_28,3,8_2
8_2_29,3,8_2
8_2_30,3,8_2
8_2_31,3,8_2
8_2_32,3,8_2
8_2_33,3,8_2
8_2_34,3,8_2
8_2_35,3,8_2
8_2_36,3,8_2
8_2_37,3,8_2
8_2_38,3,8_2
8_2_39,3,8_2
8_2_40,3,8_2
8_2_41,3,8_2
8_2_42,3,8_2
8_2_43,3,8_2
8_2_44,3,8_2
8_2_45,3,8_2
8_2_46,3,8_2
8_2_47,3,8_2
8_2_48,3,8_2
8_2_49,3,8_2
8_2_50,3,8_2
8_2_51,3,8_2
8_2_52,3,8_2
8_2_53,3,8_2
8_2_54,3,8_2
8_2_55,3,8_2
8_2_56,3,8_2
8_2_57,3,8_2
8_2_58,3,8_2
8_2_59,3,8_2
8_2_60,3,8_2
8_2_61,3,8_2
8_2_62,3,8_2
8_2_63,3,8_2
8_2_64,3,8_2
8_2_65,3,8_2
8_2_66,3,8_2
8_2_67,3,8_2
8_2_68,3,8_2
8_2_69,3,8_2
8_2_70,3,8_2
8_2_71,3,8_2
8_2_72,3,8_2
8_2_73,3,8_2
8_2_74,3,8_2
8_2_75,3,8_2
8_2_76,3,8_2
8_2_77,3,8_2
8_2_78,3,8_2
8_2_79,3,8_2
8_2_80,3,8_2
9_2_1,3,9_2
9_2_2,3,9_2
9_2_3,3,9_2
9_2_4,3,9_2
9_2_5,3,9_2
