index,Class,score,video_x
1_3_1,6,0.0,1_3
1_3_2,6,0.0386044510117951,1_3
1_3_3,5,0.0570665579516029,1_3
1_3_4,5,0.057454774408003,1_3
1_3_5,5,0.057516912291255,1_3
1_3_6,5,0.0598040582120133,1_3
1_3_7,5,0.0650998726552178,1_3
1_3_8,5,0.0723901215787363,1_3
1_3_9,5,0.0788621269596942,1_3
1_3_10,5,0.0856100381227667,1_3
1_3_11,5,0.0929265127375005,1_3
1_3_12,5,0.1061306353501409,1_3
1_3_13,5,0.130287539625045,1_3
1_3_14,5,0.160308933085144,1_3
1_3_15,5,0.1866733466297744,1_3
1_3_16,5,0.2130276882963707,1_3
1_3_17,5,0.2324849361845386,1_3
1_3_18,5,0.251176480980297,1_3
1_3_19,5,0.2697354695590674,1_3
1_3_20,5,0.2878261956679639,1_3
1_3_21,5,0.3056007197142612,1_3
1_3_22,5,0.3250037553247638,1_3
1_3_23,6,0.3424954613889767,1_3
1_3_24,6,0.3549034041517394,1_3
1_3_25,5,0.3624666782472069,1_3
1_3_26,5,0.3691955578752553,1_3
1_3_27,5,0.3785089086773748,1_3
1_3_28,5,0.3942449676520286,1_3
1_3_29,5,0.4155885030334782,1_3
1_3_30,5,0.438041726484249,1_3
1_3_31,5,0.4551908017957861,1_3
1_3_32,5,0.472416451362302,1_3
1_3_33,5,0.4868461477062839,1_3
1_3_34,5,0.4958363226924883,1_3
1_3_35,5,0.508553744817855,1_3
1_3_36,5,0.527281555005392,1_3
1_3_37,5,0.5487444128477801,1_3
1_3_38,5,0.57813489728744,1_3
1_3_39,6,0.6092905727759106,1_3
1_3_40,6,0.6401839658206765,1_3
1_3_41,6,0.6802487795551051,1_3
1_3_42,6,0.7272504831620152,1_3
1_3_43,6,0.7927117049563759,1_3
1_3_44,6,0.879290079189327,1_3
1_3_45,6,0.9486977269823804,1_3
1_3_46,6,1.0,1_3
1_3_47,6,0.9359759514053974,1_3
2_3_1,5,0.3803664148599958,2_3
2_3_2,5,0.3959681142240198,2_3
2_3_3,5,0.4067004224260191,2_3
2_3_4,5,0.4133420351916072,2_3
2_3_5,5,0.4159850934912011,2_3
2_3_6,5,0.4211145705019409,2_3
2_3_7,5,0.4318426921581134,2_3
2_3_8,5,0.4493325619856885,2_3
2_3_9,5,0.4693238375640563,2_3
2_3_10,5,0.4850681336511012,2_3
2_3_11,5,0.4960637910969204,2_3
2_3_12,5,0.5067068401898609,2_3
2_3_13,5,0.5213471634292879,2_3
2_3_14,5,0.5377552158661851,2_3
2_3_15,5,0.5535853078772699,2_3
2_3_16,5,0.5709179597301712,2_3
2_3_17,5,0.5920601303201525,2_3
2_3_18,5,0.613570371364027,2_3
2_3_19,5,0.6381331497386498,2_3
2_3_20,5,0.6698044174375974,2_3
2_3_21,5,0.7143852743623362,2_3
2_3_22,5,0.776439931775883,2_3
2_3_23,5,0.8628229102596086,2_3
2_3_24,6,0.9436659266920971,2_3
2_3_25,6,1.0,2_3
2_3_26,5,0.9399184426006744,2_3
2_3_27,5,0.8599895355873179,2_3
2_3_28,5,0.7824818151991786,2_3
2_3_29,5,0.7209886864129464,2_3
2_3_30,5,0.679993306626046,2_3
2_3_31,5,0.6468257969411817,2_3
2_3_32,5,0.616670139101845,2_3
2_3_33,5,0.5945571847291771,2_3
2_3_34,5,0.5787967873375053,2_3
2_3_35,5,0.5600153272613717,2_3
2_3_36,5,0.5456827062765834,2_3
2_3_37,5,0.5360601850657649,2_3
2_3_38,5,0.5284108377858807,2_3
2_3_39,5,0.5207277283164822,2_3
2_3_40,5,0.511430667070015,2_3
2_3_41,5,0.5042910809513013,2_3
2_3_42,5,0.5004171649394202,2_3
2_3_43,5,0.4981460120638938,2_3
2_3_44,5,0.4935656536312627,2_3
2_3_45,5,0.4964863546959382,2_3
2_3_46,5,0.5041946852541275,2_3
2_3_47,5,0.5037008498280553,2_3
2_3_48,5,0.493947071411658,2_3
2_3_49,5,0.4847325862437249,2_3
2_3_50,5,0.4726138751265776,2_3
2_3_51,5,0.4572210613804338,2_3
2_3_52,5,0.4411840669599011,2_3
2_3_53,5,0.4239363254426293,2_3
2_3_54,5,0.4038767802611278,2_3
2_3_55,5,0.3835181838947046,2_3
2_3_56,5,0.3618637384936267,2_3
2_3_57,5,0.3430175913616091,2_3
2_3_58,5,0.3269755449257557,2_3
2_3_59,5,0.3146503282091379,2_3
2_3_60,5,0.3025208565425037,2_3
2_3_61,5,0.2890639945994604,2_3
2_3_62,5,0.2738487969450785,2_3
2_3_63,5,0.2621669541086911,2_3
2_3_64,0,0.2519781129081259,2_3
2_3_65,0,0.2425710472954256,2_3
2_3_66,0,0.2344395007123078,2_3
2_3_67,0,0.230416225839743,2_3
2_3_68,0,0.2232505464974568,2_3
2_3_69,0,0.2104728547051333,2_3
2_3_70,0,0.1952009731132357,2_3
2_3_71,0,0.1776683752588021,2_3
2_3_72,0,0.1645797229393457,2_3
2_3_73,0,0.1575028235853762,2_3
2_3_74,0,0.1531743213417071,2_3
2_3_75,0,0.1495377530164808,2_3
2_3_76,0,0.1417297767895786,2_3
2_3_77,0,0.1273656741476229,2_3
2_3_78,0,0.1087707089182242,2_3
2_3_79,0,0.0910155875342305,2_3
2_3_80,0,0.0731671456489703,2_3
2_3_81,0,0.0595075671723621,2_3
2_3_82,0,0.0467566100399884,2_3
2_3_83,0,0.030907065396489,2_3
2_3_84,0,0.0141086417492562,2_3
2_3_85,0,0.0,2_3
3_3_1,5,0.0,3_3
3_3_2,5,0.0318307007773485,3_3
3_3_3,5,0.0622131083683014,3_3
3_3_4,5,0.0942036220783727,3_3
3_3_5,5,0.1292593175620644,3_3
3_3_6,5,0.1617519566610792,3_3
3_3_7,5,0.1952828774082649,3_3
3_3_8,5,0.2281333448681457,3_3
3_3_9,5,0.2596609620995631,3_3
3_3_10,5,0.2857915797345449,3_3
3_3_11,5,0.3082419636980735,3_3
3_3_12,5,0.3382868850306163,3_3
3_3_13,5,0.3735251051154623,3_3
3_3_14,5,0.4123049672467633,3_3
3_3_15,5,0.4485047294197707,3_3
3_3_16,5,0.4952120458973845,3_3
3_3_17,5,0.549692835636041,3_3
3_3_18,6,0.5974685676408337,3_3
3_3_19,6,0.6363865575947804,3_3
3_3_20,5,0.6795350928281007,3_3
3_3_21,5,0.7081571580917306,3_3
3_3_22,5,0.7263432923405638,3_3
3_3_23,5,0.767459212739611,3_3
3_3_24,5,0.8323079514632094,3_3
3_3_25,5,0.9177494704848056,3_3
3_3_26,6,1.0,3_3
3_3_27,5,0.9273600740517032,3_3
3_3_28,5,0.8408934103308511,3_3
3_3_29,5,0.7403890876740696,3_3
3_3_30,5,0.6619105580744905,3_3
3_3_31,5,0.6068919037082677,3_3
3_3_32,5,0.5670178914865683,3_3
3_3_33,5,0.5362564631365531,3_3
3_3_34,5,0.5223216775397708,3_3
3_3_35,5,0.531608190880059,3_3
3_3_36,5,0.5339879127465023,3_3
3_3_37,6,0.5174620930528654,3_3
3_3_38,6,0.4902488771362913,3_3
3_3_39,5,0.4501295893895622,3_3
3_3_40,5,0.4069361803103341,3_3
3_3_41,5,0.3688735990159798,3_3
3_3_42,5,0.3328016646296848,3_3
3_3_43,5,0.2972678562905009,3_3
3_3_44,5,0.2676306240316599,3_3
3_3_45,5,0.2456394456337111,3_3
4_3_1,6,0.6517612593496847,4_3
4_3_2,6,0.6590117077660411,4_3
4_3_3,6,0.6652662741665347,4_3
4_3_4,6,0.6751120372277337,4_3
4_3_5,6,0.6855649040016143,4_3
4_3_6,6,0.696620554068083,4_3
4_3_7,6,0.7071030411369452,4_3
4_3_8,6,0.7153188546102063,4_3
4_3_9,6,0.7229600770270894,4_3
4_3_10,6,0.7288705268259705,4_3
4_3_11,6,0.7321662197449506,4_3
