index,Class,video,frames_n
2_1_1,1,2_1,88
2_1_2,1,2_1,88
2_1_3,1,2_1,88
2_1_4,1,2_1,88
2_1_5,1,2_1,88
2_1_6,1,2_1,88
2_1_7,1,2_1,88
2_1_8,1,2_1,88
2_1_9,1,2_1,88
2_1_10,1,2_1,88
2_1_11,1,2_1,88
2_1_12,1,2_1,88
2_1_13,1,2_1,88
2_1_14,1,2_1,88
2_1_15,1,2_1,88
2_1_16,1,2_1,88
2_1_17,1,2_1,88
2_1_18,1,2_1,88
2_1_19,1,2_1,88
2_1_20,1,2_1,88
2_1_21,1,2_1,88
2_1_22,1,2_1,88
2_1_23,1,2_1,88
2_1_24,1,2_1,88
2_1_25,1,2_1,88
2_1_26,1,2_1,88
2_1_27,1,2_1,88
2_1_28,1,2_1,88
2_1_29,1,2_1,88
2_1_30,1,2_1,88
2_1_31,1,2_1,88
2_1_32,1,2_1,88
2_1_33,1,2_1,88
2_1_34,1,2_1,88
2_1_35,1,2_1,88
2_1_36,1,2_1,88
2_1_37,1,2_1,88
2_1_38,1,2_1,88
2_1_39,1,2_1,88
2_1_40,1,2_1,88
2_1_41,1,2_1,88
2_1_42,1,2_1,88
2_1_43,1,2_1,88
2_1_44,1,2_1,88
2_1_45,1,2_1,88
2_1_46,1,2_1,88
2_1_47,1,2_1,88
2_1_48,1,2_1,88
2_1_49,1,2_1,88
2_1_50,1,2_1,88
2_1_51,1,2_1,88
2_1_52,1,2_1,88
2_1_53,1,2_1,88
2_1_54,1,2_1,88
2_1_55,1,2_1,88
2_1_56,1,2_1,88
2_1_57,1,2_1,88
2_1_58,1,2_1,88
2_1_59,1,2_1,88
2_1_60,1,2_1,88
2_1_61,1,2_1,88
2_1_62,1,2_1,88
2_1_63,1,2_1,88
2_1_64,1,2_1,88
2_1_65,1,2_1,88
2_1_66,1,2_1,88
2_1_67,1,2_1,88
2_1_68,1,2_1,88
2_1_69,1,2_1,88
2_1_70,1,2_1,88
2_1_71,1,2_1,88
2_1_72,1,2_1,88
2_1_73,2,2_1,88
2_1_74,2,2_1,88
2_1_75,2,2_1,88
2_1_76,2,2_1,88
2_1_77,2,2_1,88
2_1_78,2,2_1,88
2_1_79,2,2_1,88
2_1_80,2,2_1,88
2_1_81,2,2_1,88
2_1_82,2,2_1,88
2_1_83,2,2_1,88
2_1_84,2,2_1,88
2_1_85,2,2_1,88
2_1_86,2,2_1,88
2_1_87,2,2_1,88
2_1_88,2,2_1,88
3_1_1,1,3_1,23
3_1_2,1,3_1,23
3_1_3,1,3_1,23
3_1_4,1,3_1,23
3_1_5,1,3_1,23
3_1_6,1,3_1,23
3_1_7,1,3_1,23
3_1_8,1,3_1,23
3_1_9,1,3_1,23
3_1_10,1,3_1,23
3_1_11,1,3_1,23
3_1_12,1,3_1,23
3_1_13,1,3_1,23
3_1_14,1,3_1,23
3_1_15,1,3_1,23
3_1_16,1,3_1,23
3_1_17,1,3_1,23
3_1_18,1,3_1,23
3_1_19,1,3_1,23
3_1_20,1,3_1,23
3_1_21,1,3_1,23
3_1_22,2,3_1,23
3_1_23,2,3_1,23
4_1_1,2,4_1,252
4_1_2,2,4_1,252
4_1_3,2,4_1,252
4_1_4,2,4_1,252
4_1_5,2,4_1,252
4_1_6,2,4_1,252
4_1_7,2,4_1,252
4_1_8,2,4_1,252
4_1_9,2,4_1,252
4_1_10,2,4_1,252
4_1_11,2,4_1,252
4_1_12,2,4_1,252
4_1_13,2,4_1,252
4_1_14,2,4_1,252
4_1_15,2,4_1,252
4_1_16,2,4_1,252
4_1_17,2,4_1,252
4_1_18,2,4_1,252
4_1_19,2,4_1,252
4_1_20,2,4_1,252
4_1_21,2,4_1,252
4_1_22,2,4_1,252
4_1_23,2,4_1,252
4_1_24,2,4_1,252
4_1_25,2,4_1,252
4_1_26,2,4_1,252
4_1_27,2,4_1,252
4_1_28,2,4_1,252
4_1_29,2,4_1,252
4_1_30,2,4_1,252
4_1_31,2,4_1,252
4_1_32,2,4_1,252
4_1_33,2,4_1,252
4_1_34,2,4_1,252
4_1_35,2,4_1,252
4_1_36,2,4_1,252
4_1_37,2,4_1,252
4_1_38,2,4_1,252
4_1_39,2,4_1,252
4_1_40,2,4_1,252
4_1_41,2,4_1,252
4_1_42,2,4_1,252
4_1_43,2,4_1,252
4_1_44,2,4_1,252
4_1_45,2,4_1,252
4_1_46,2,4_1,252
4_1_47,2,4_1,252
4_1_48,2,4_1,252
4_1_49,2,4_1,252
4_1_50,2,4_1,252
4_1_51,2,4_1,252
4_1_52,2,4_1,252
4_1_53,2,4_1,252
4_1_54,2,4_1,252
