index,Class,video_x
1_1_1,1,1_1
1_1_2,1,1_1
1_1_3,1,1_1
1_1_4,1,1_1
1_1_5,1,1_1
1_1_6,1,1_1
1_1_7,1,1_1
1_1_8,1,1_1
1_1_9,1,1_1
1_1_10,1,1_1
1_1_11,1,1_1
1_1_12,1,1_1
1_1_13,1,1_1
1_1_14,1,1_1
1_1_15,2,1_1
1_1_16,2,1_1
1_1_17,2,1_1
1_1_18,2,1_1
1_1_19,2,1_1
1_1_20,2,1_1
1_1_21,2,1_1
1_1_22,2,1_1
1_1_23,2,1_1
1_1_24,2,1_1
1_1_25,2,1_1
1_1_26,2,1_1
1_1_27,2,1_1
1_1_28,2,1_1
1_1_29,1,1_1
1_1_30,1,1_1
1_1_31,1,1_1
1_1_32,1,1_1
1_1_33,1,1_1
1_1_34,1,1_1
1_1_35,1,1_1
1_1_36,1,1_1
1_1_37,1,1_1
1_1_38,1,1_1
1_1_39,1,1_1
1_1_40,1,1_1
1_1_41,1,1_1
1_1_42,1,1_1
1_1_43,1,1_1
1_1_44,1,1_1
1_1_45,1,1_1
1_1_46,1,1_1
1_1_47,1,1_1
1_1_48,1,1_1
1_1_49,1,1_1
1_1_50,1,1_1
1_1_51,1,1_1
1_1_52,1,1_1
1_1_53,1,1_1
1_1_54,1,1_1
1_1_55,1,1_1
1_1_56,1,1_1
1_1_57,1,1_1
1_1_58,1,1_1
1_1_59,1,1_1
1_1_60,1,1_1
1_1_61,1,1_1
1_1_62,1,1_1
1_1_63,1,1_1
1_1_64,1,1_1
1_1_65,1,1_1
1_1_66,1,1_1
1_1_67,1,1_1
1_1_68,1,1_1
2_1_1,1,2_1
2_1_2,1,2_1
2_1_3,1,2_1
2_1_4,1,2_1
2_1_5,1,2_1
2_1_6,1,2_1
2_1_7,1,2_1
2_1_8,1,2_1
2_1_9,1,2_1
2_1_10,1,2_1
2_1_11,1,2_1
2_1_12,1,2_1
2_1_13,1,2_1
2_1_14,1,2_1
2_1_15,1,2_1
2_1_16,1,2_1
2_1_17,1,2_1
2_1_18,1,2_1
2_1_19,1,2_1
2_1_20,1,2_1
2_1_21,1,2_1
2_1_22,1,2_1
2_1_23,1,2_1
2_1_24,1,2_1
2_1_25,1,2_1
2_1_26,1,2_1
2_1_27,1,2_1
2_1_28,1,2_1
2_1_29,1,2_1
2_1_30,1,2_1
2_1_31,1,2_1
2_1_32,1,2_1
2_1_33,1,2_1
2_1_34,1,2_1
2_1_35,1,2_1
2_1_36,1,2_1
2_1_37,1,2_1
2_1_38,1,2_1
2_1_39,1,2_1
2_1_40,1,2_1
2_1_41,1,2_1
2_1_42,1,2_1
2_1_43,1,2_1
2_1_44,1,2_1
2_1_45,1,2_1
2_1_46,1,2_1
2_1_47,1,2_1
2_1_48,1,2_1
2_1_49,1,2_1
2_1_50,1,2_1
2_1_51,1,2_1
2_1_52,1,2_1
2_1_53,1,2_1
2_1_54,1,2_1
2_1_55,1,2_1
2_1_56,1,2_1
2_1_57,1,2_1
2_1_58,1,2_1
2_1_59,1,2_1
2_1_60,1,2_1
2_1_61,1,2_1
2_1_62,1,2_1
2_1_63,1,2_1
2_1_64,1,2_1
2_1_65,1,2_1
2_1_66,1,2_1
2_1_67,1,2_1
2_1_68,1,2_1
2_1_69,1,2_1
2_1_70,1,2_1
2_1_71,1,2_1
2_1_72,1,2_1
2_1_73,2,2_1
2_1_74,2,2_1
2_1_75,2,2_1
2_1_76,2,2_1
2_1_77,2,2_1
2_1_78,2,2_1
2_1_79,2,2_1
2_1_80,2,2_1
2_1_81,2,2_1
2_1_82,2,2_1
2_1_83,2,2_1
2_1_84,2,2_1
2_1_85,2,2_1
2_1_86,2,2_1
2_1_87,2,2_1
2_1_88,2,2_1
3_1_1,1,3_1
3_1_2,1,3_1
3_1_3,1,3_1
3_1_4,1,3_1
3_1_5,1,3_1
3_1_6,1,3_1
3_1_7,1,3_1
3_1_8,1,3_1
3_1_9,1,3_1
3_1_10,1,3_1
3_1_11,1,3_1
3_1_12,1,3_1
3_1_13,1,3_1
3_1_14,1,3_1
3_1_15,1,3_1
3_1_16,1,3_1
3_1_17,1,3_1
3_1_18,1,3_1
3_1_19,1,3_1
3_1_20,1,3_1
3_1_21,1,3_1
3_1_22,2,3_1
3_1_23,2,3_1
4_1_1,2,4_1
4_1_2,2,4_1
4_1_3,2,4_1
4_1_4,2,4_1
4_1_5,2,4_1
4_1_6,2,4_1
4_1_7,2,4_1
4_1_8,2,4_1
4_1_9,2,4_1
4_1_10,2,4_1
4_1_11,2,4_1
4_1_12,2,4_1
4_1_13,2,4_1
4_1_14,2,4_1
4_1_15,2,4_1
4_1_16,2,4_1
4_1_17,2,4_1
4_1_18,2,4_1
4_1_19,2,4_1
4_1_20,2,4_1
4_1_21,2,4_1
4_1_22,2,4_1
4_1_23,2,4_1
4_1_24,2,4_1
4_1_25,2,4_1
4_1_26,2,4_1
4_1_27,2,4_1
4_1_28,2,4_1
4_1_29,2,4_1
4_1_30,2,4_1
4_1_31,2,4_1
4_1_32,2,4_1
4_1_33,2,4_1
4_1_34,2,4_1
4_1_35,2,4_1
4_1_36,2,4_1
4_1_37,2,4_1
4_1_38,2,4_1
4_1_39,2,4_1
4_1_40,2,4_1
4_1_41,2,4_1
4_1_42,2,4_1
4_1_43,2,4_1
4_1_44,2,4_1
4_1_45,2,4_1
4_1_46,2,4_1
4_1_47,2,4_1
4_1_48,2,4_1
4_1_49,2,4_1
4_1_50,2,4_1
4_1_51,2,4_1
4_1_52,2,4_1
4_1_53,2,4_1
4_1_54,2,4_1
4_1_55,2,4_1
4_1_56,2,4_1
4_1_57,2,4_1
4_1_58,2,4_1
4_1_59,2,4_1
4_1_60,2,4_1
4_1_61,2,4_1
4_1_62,2,4_1
4_1_63,2,4_1
4_1_64,2,4_1
4_1_65,2,4_1
4_1_66,2,4_1
4_1_67,2,4_1
4_1_68,2,4_1
4_1_69,2,4_1
4_1_70,2,4_1
4_1_71,2,4_1
4_1_72,2,4_1
4_1_73,2,4_1
4_1_74,2,4_1
4_1_75,2,4_1
4_1_76,2,4_1
4_1_77,2,4_1
4_1_78,2,4_1
4_1_79,2,4_1
4_1_80,2,4_1
4_1_81,2,4_1
4_1_82,2,4_1
4_1_83,2,4_1
4_1_84,2,4_1
4_1_85,2,4_1
4_1_86,2,4_1
4_1_87,2,4_1
4_1_88,2,4_1
4_1_89,2,4_1
4_1_90,2,4_1
4_1_91,2,4_1
4_1_92,2,4_1
4_1_93,2,4_1
4_1_94,2,4_1
4_1_95,2,4_1
4_1_96,2,4_1
4_1_97,2,4_1
4_1_98,2,4_1
4_1_99,2,4_1
4_1_100,2,4_1
4_1_101,2,4_1
4_1_102,2,4_1
4_1_103,2,4_1
4_1_104,2,4_1
4_1_105,2,4_1
4_1_106,2,4_1
4_1_107,2,4_1
4_1_108,2,4_1
4_1_109,2,4_1
4_1_110,2,4_1
4_1_111,2,4_1
4_1_112,2,4_1
4_1_113,2,4_1
4_1_114,2,4_1
4_1_115,2,4_1
4_1_116,2,4_1
4_1_117,2,4_1
4_1_118,2,4_1
4_1_119,2,4_1
4_1_120,2,4_1
4_1_121,2,4_1
4_1_122,2,4_1
4_1_123,2,4_1
4_1_124,2,4_1
4_1_125,2,4_1
4_1_126,2,4_1
4_1_127,2,4_1
4_1_128,2,4_1
4_1_129,2,4_1
4_1_130,2,4_1
4_1_131,2,4_1
4_1_132,2,4_1
4_1_133,2,4_1
4_1_134,2,4_1
4_1_135,2,4_1
4_1_136,2,4_1
4_1_137,2,4_1
4_1_138,2,4_1
4_1_139,2,4_1
4_1_140,2,4_1
4_1_141,2,4_1
4_1_142,2,4_1
4_1_143,2,4_1
4_1_144,2,4_1
4_1_145,2,4_1
4_1_146,2,4_1
4_1_147,2,4_1
4_1_148,2,4_1
4_1_149,2,4_1
4_1_150,2,4_1
4_1_151,2,4_1
4_1_152,2,4_1
4_1_153,2,4_1
4_1_154,2,4_1
4_1_155,2,4_1
4_1_156,2,4_1
4_1_157,2,4_1
4_1_158,2,4_1
4_1_159,2,4_1
4_1_160,2,4_1
4_1_161,2,4_1
4_1_162,2,4_1
4_1_163,2,4_1
4_1_164,2,4_1
4_1_165,2,4_1
4_1_166,2,4_1
4_1_167,2,4_1
4_1_168,2,4_1
4_1_169,2,4_1
4_1_170,2,4_1
4_1_171,2,4_1
4_1_172,2,4_1
4_1_173,2,4_1
4_1_174,2,4_1
4_1_175,2,4_1
4_1_176,2,4_1
4_1_177,2,4_1
4_1_178,2,4_1
4_1_179,2,4_1
4_1_180,2,4_1
4_1_181,2,4_1
4_1_182,2,4_1
4_1_183,2,4_1
4_1_184,2,4_1
4_1_185,2,4_1
4_1_186,2,4_1
4_1_187,2,4_1
4_1_188,2,4_1
4_1_189,2,4_1
4_1_190,2,4_1
4_1_191,2,4_1
4_1_192,2,4_1
4_1_193,2,4_1
4_1_194,2,4_1
4_1_195,2,4_1
4_1_196,2,4_1
4_1_197,2,4_1
4_1_198,2,4_1
4_1_199,2,4_1
4_1_200,2,4_1
4_1_201,2,4_1
4_1_202,2,4_1
4_1_203,2,4_1
4_1_204,2,4_1
4_1_205,2,4_1
4_1_206,2,4_1
4_1_207,2,4_1
4_1_208,2,4_1
4_1_209,2,4_1
4_1_210,2,4_1
4_1_211,2,4_1
4_1_212,2,4_1
4_1_213,2,4_1
4_1_214,2,4_1
4_1_215,2,4_1
4_1_216,2,4_1
4_1_217,2,4_1
4_1_218,2,4_1
4_1_219,2,4_1
4_1_220,2,4_1
4_1_221,2,4_1
4_1_222,2,4_1
4_1_223,2,4_1
4_1_224,2,4_1
4_1_225,2,4_1
4_1_226,2,4_1
4_1_227,2,4_1
4_1_228,2,4_1
4_1_229,2,4_1
4_1_230,2,4_1
4_1_231,2,4_1
4_1_232,2,4_1
4_1_233,2,4_1
4_1_234,2,4_1
4_1_235,2,4_1
4_1_236,2,4_1
4_1_237,2,4_1
4_1_238,2,4_1
4_1_239,2,4_1
4_1_240,2,4_1
4_1_241,2,4_1
4_1_242,2,4_1
4_1_243,2,4_1
4_1_244,2,4_1
4_1_245,2,4_1
4_1_246,2,4_1
4_1_247,2,4_1
4_1_248,2,4_1
4_1_249,2,4_1
4_1_250,2,4_1
4_1_251,2,4_1
4_1_252,2,4_1
6_1_1,2,6_1
6_1_2,2,6_1
6_1_3,2,6_1
6_1_4,2,6_1
6_1_5,2,6_1
6_1_6,2,6_1
6_1_7,2,6_1
6_1_8,2,6_1
6_1_9,2,6_1
6_1_10,2,6_1
6_1_11,1,6_1
6_1_12,1,6_1
6_1_13,1,6_1
6_1_14,1,6_1
6_1_15,1,6_1
6_1_16,1,6_1
6_1_17,1,6_1
6_1_18,1,6_1
6_1_19,1,6_1
6_1_20,1,6_1
6_1_21,1,6_1
6_1_22,1,6_1
6_1_23,1,6_1
6_1_24,1,6_1
6_1_25,1,6_1
6_1_26,1,6_1
6_1_27,1,6_1
6_1_28,1,6_1
6_1_29,1,6_1
6_1_30,1,6_1
6_1_31,1,6_1
6_1_32,1,6_1
6_1_33,1,6_1
6_1_34,1,6_1
6_1_35,1,6_1
6_1_36,1,6_1
6_1_37,1,6_1
6_1_38,1,6_1
6_1_39,2,6_1
6_1_40,2,6_1
6_1_41,2,6_1
6_1_42,2,6_1
6_1_43,2,6_1
6_1_44,2,6_1
6_1_45,2,6_1
6_1_46,2,6_1
6_1_47,2,6_1
6_1_48,2,6_1
9_1_1,1,9_1
9_1_2,1,9_1
9_1_3,1,9_1
9_1_4,1,9_1
9_1_5,1,9_1
9_1_6,1,9_1
9_1_7,1,9_1
9_1_8,1,9_1
9_1_9,1,9_1
9_1_10,1,9_1
9_1_11,1,9_1
9_1_12,1,9_1
9_1_13,1,9_1
9_1_14,1,9_1
9_1_15,1,9_1
9_1_16,1,9_1
9_1_17,1,9_1
9_1_18,1,9_1
9_1_19,1,9_1
9_1_20,1,9_1
9_1_21,1,9_1
9_1_22,1,9_1
9_1_23,1,9_1
9_1_24,1,9_1
9_1_25,1,9_1
9_1_26,1,9_1
9_1_27,1,9_1
9_1_28,1,9_1
9_1_29,1,9_1
9_1_30,1,9_1
9_1_31,1,9_1
9_1_32,1,9_1
9_1_33,1,9_1
9_1_34,1,9_1
9_1_35,1,9_1
9_1_36,1,9_1
9_1_37,1,9_1
9_1_38,1,9_1
9_1_39,1,9_1
9_1_40,1,9_1
9_1_41,1,9_1
9_1_42,1,9_1
9_1_43,1,9_1
9_1_44,1,9_1
9_1_45,1,9_1
9_1_46,1,9_1
9_1_47,1,9_1
9_1_48,1,9_1
9_1_49,1,9_1
9_1_50,1,9_1
9_1_51,1,9_1
9_1_52,1,9_1
9_1_53,1,9_1
9_1_54,1,9_1
9_1_55,1,9_1
9_1_56,1,9_1
9_1_57,1,9_1
9_1_58,1,9_1
9_1_59,1,9_1
9_1_60,1,9_1
9_1_61,1,9_1
9_1_62,1,9_1
9_1_63,1,9_1
9_1_64,1,9_1
9_1_65,1,9_1
9_1_66,1,9_1
9_1_67,1,9_1
9_1_68,1,9_1
9_1_69,1,9_1
9_1_70,1,9_1
9_1_71,1,9_1
9_1_72,1,9_1
9_1_73,1,9_1
9_1_74,1,9_1
9_1_75,1,9_1
9_1_76,1,9_1
9_1_77,1,9_1
9_1_78,2,9_1
9_1_79,2,9_1
9_1_80,2,9_1
9_1_81,2,9_1
9_1_82,2,9_1
9_1_83,2,9_1
9_1_84,2,9_1
9_1_85,2,9_1
9_1_86,2,9_1
9_1_87,2,9_1
9_1_88,2,9_1
9_1_89,2,9_1
9_1_90,2,9_1
9_1_91,2,9_1
9_1_92,2,9_1
9_1_93,2,9_1
9_1_94,2,9_1
9_1_95,2,9_1
9_1_96,2,9_1
9_1_97,2,9_1
9_1_98,2,9_1
9_1_99,2,9_1
9_1_100,2,9_1
9_1_101,2,9_1
9_1_102,2,9_1
9_1_103,2,9_1
9_1_104,2,9_1
9_1_105,2,9_1
9_1_106,2,9_1
9_1_107,2,9_1
9_1_108,2,9_1
9_1_109,2,9_1
9_1_110,2,9_1
9_1_111,2,9_1
9_1_112,2,9_1
9_1_113,2,9_1
9_1_114,2,9_1
9_1_115,1,9_1
9_1_116,1,9_1
9_1_117,1,9_1
9_1_118,1,9_1
9_1_119,1,9_1
9_1_120,1,9_1
9_1_121,1,9_1
9_1_122,1,9_1
9_1_123,1,9_1
9_1_124,1,9_1
9_1_125,1,9_1
9_1_126,1,9_1
9_1_127,1,9_1
9_1_128,1,9_1
9_1_129,1,9_1
9_1_130,1,9_1
9_1_131,1,9_1
9_1_132,1,9_1
9_1_133,1,9_1
9_1_134,1,9_1
9_1_135,1,9_1
9_1_136,1,9_1
9_1_137,1,9_1
9_1_138,1,9_1
9_1_139,1,9_1
9_1_140,1,9_1
9_1_141,1,9_1
9_1_142,1,9_1
9_1_143,1,9_1
9_1_144,1,9_1
9_1_145,1,9_1
9_1_146,1,9_1
9_1_147,1,9_1
9_1_148,1,9_1
9_1_149,1,9_1
9_1_150,1,9_1
9_1_151,1,9_1
9_1_152,1,9_1
9_1_153,1,9_1
9_1_154,1,9_1
9_1_155,1,9_1
9_1_156,1,9_1
9_1_157,1,9_1
9_1_158,1,9_1
9_1_159,1,9_1
9_1_160,1,9_1
9_1_161,1,9_1
9_1_162,1,9_1
9_1_163,1,9_1
9_1_164,1,9_1
9_1_165,1,9_1
9_1_166,1,9_1
9_1_167,1,9_1
9_1_168,1,9_1
9_1_169,1,9_1
9_1_170,1,9_1
9_1_171,1,9_1
9_1_172,1,9_1
9_1_173,1,9_1
9_1_174,1,9_1
9_1_175,1,9_1
9_1_176,1,9_1
9_1_177,1,9_1
11_1_1,1,11_1
11_1_2,1,11_1
11_1_3,1,11_1
11_1_4,1,11_1
11_1_5,1,11_1
11_1_6,1,11_1
11_1_7,1,11_1
11_1_8,1,11_1
11_1_9,1,11_1
11_1_10,1,11_1
11_1_11,1,11_1
11_1_12,1,11_1
11_1_13,1,11_1
11_1_14,1,11_1
11_1_15,1,11_1
11_1_16,1,11_1
11_1_17,1,11_1
11_1_18,1,11_1
11_1_19,1,11_1
11_1_20,1,11_1
11_1_21,1,11_1
11_1_22,1,11_1
11_1_23,1,11_1
11_1_24,1,11_1
11_1_25,1,11_1
11_1_26,1,11_1
11_1_27,1,11_1
11_1_28,1,11_1
11_1_29,1,11_1
11_1_30,1,11_1
11_1_31,1,11_1
11_1_32,1,11_1
11_1_33,1,11_1
11_1_34,1,11_1
11_1_35,1,11_1
11_1_36,1,11_1
11_1_37,1,11_1
11_1_38,1,11_1
11_1_39,1,11_1
11_1_40,1,11_1
11_1_41,1,11_1
11_1_42,1,11_1
11_1_43,1,11_1
11_1_44,1,11_1
11_1_45,1,11_1
11_1_46,1,11_1
11_1_47,1,11_1
11_1_48,1,11_1
11_1_49,1,11_1
11_1_50,1,11_1
11_1_51,1,11_1
11_1_52,1,11_1
11_1_53,1,11_1
11_1_54,1,11_1
11_1_55,1,11_1
11_1_56,1,11_1
11_1_57,2,11_1
11_1_58,2,11_1
11_1_59,2,11_1
11_1_60,2,11_1
11_1_61,2,11_1
11_1_62,2,11_1
11_1_63,2,11_1
11_1_64,2,11_1
11_1_65,2,11_1
11_1_66,2,11_1
11_1_67,2,11_1
11_1_68,1,11_1
11_1_69,1,11_1
11_1_70,1,11_1
11_1_71,1,11_1
11_1_72,1,11_1
11_1_73,1,11_1
11_1_74,1,11_1
11_1_75,1,11_1
11_1_76,1,11_1
11_1_77,1,11_1
11_1_78,1,11_1
11_1_79,1,11_1
11_1_80,1,11_1
11_1_81,1,11_1
11_1_82,1,11_1
11_1_83,1,11_1
11_1_84,1,11_1
11_1_85,1,11_1
11_1_86,1,11_1
11_1_87,1,11_1
11_1_88,1,11_1
11_1_89,1,11_1
11_1_90,1,11_1
11_1_91,1,11_1
14_1_1,1,14_1
14_1_2,1,14_1
14_1_3,1,14_1
